type.name;cost;instance.name;os;license;costCpu;costRam
Preemptible;0.43;n1-highmem-8;WINDOWS;;;
Preemptible;0.772;n1-highcpu-16;WINDOWS;;;
Preemptible;0.816;n1-standard-16;WINDOWS;;;
Preemptible;0.86;n1-highmem-16;WINDOWS;;;
Preemptible;1.544;n1-highcpu-32;WINDOWS;;;
Preemptible;1.632;n1-standard-32;WINDOWS;;;
Preemptible;1.72;n1-highmem-32;WINDOWS;;;
Preemptible;3.088;n1-highcpu-64;WINDOWS;;;
Preemptible;3.264;n1-standard-64;WINDOWS;;;
Preemptible;3.44;n1-highmem-64;WINDOWS;;;
Preemptible;0.0639;f1-micro;RHEL;;;
Preemptible;0.0677;g1-small;RHEL;;;
Preemptible;0.071;n1-standard-1;RHEL;;;
Preemptible;0.0765;n1-highcpu-2;RHEL;;;
Preemptible;0.082;n1-standard-2;RHEL;;;
Preemptible;0.0875;n1-highmem-2;RHEL;;;
Preemptible;0.093;n1-highcpu-4;RHEL;;;
Preemptible;0.104;n1-standard-4;RHEL;;;
Preemptible;0.115;n1-highmem-4;RHEL;;;
Preemptible;0.196;n1-highcpu-8;RHEL;;;
Preemptible;0.218;n1-standard-8;RHEL;;;
Preemptible;0.24;n1-highmem-8;RHEL;;;
Preemptible;0.262;n1-highcpu-16;RHEL;;;
Preemptible;0.306;n1-standard-16;RHEL;;;
Preemptible;0.35;n1-highmem-16;RHEL;;;
Preemptible;0.394;n1-highcpu-32;RHEL;;;
Preemptible;0.482;n1-standard-32;RHEL;;;
Preemptible;0.57;n1-highmem-32;RHEL;;;
Preemptible;0.658;n1-highcpu-64;RHEL;;;
Preemptible;0.834;n1-standard-64;RHEL;;;
Preemptible;1.01;n1-highmem-64;RHEL;;;
Preemptible;0.0239;f1-micro;SUSE;;;
Preemptible;0.0277;g1-small;SUSE;;;
Preemptible;0.121;n1-standard-1;SUSE;;;
Preemptible;0.1265;n1-highcpu-2;SUSE;;;
Preemptible;0.132;n1-standard-2;SUSE;;;
Preemptible;0.1375;n1-highmem-2;SUSE;;;
Preemptible;0.143;n1-highcpu-4;SUSE;;;
Preemptible;0.154;n1-standard-4;SUSE;;;
Preemptible;0.165;n1-highmem-4;SUSE;;;
Preemptible;0.176;n1-highcpu-8;SUSE;;;
Preemptible;0.198;n1-standard-8;SUSE;;;
Preemptible;0.22;n1-highmem-8;SUSE;;;
Preemptible;0.242;n1-highcpu-16;SUSE;;;
Preemptible;0.286;n1-standard-16;SUSE;;;
Preemptible;0.33;n1-highmem-16;SUSE;;;
Preemptible;0.374;n1-highcpu-32;SUSE;;;
Preemptible;0.462;n1-standard-32;SUSE;;;
Preemptible;0.55;n1-highmem-32;SUSE;;;
Preemptible;0.638;n1-highcpu-64;SUSE;;;
Preemptible;0.814;n1-standard-64;SUSE;;;
Preemptible;0.99;n1-highmem-64;SUSE;;;
Preemptible;1.6199;f1-micro;WINDOWS;SQL Server Enterprise;;
Preemptible;1.6237;g1-small;WINDOWS;SQL Server Enterprise;;
Preemptible;1.647;n1-standard-1;WINDOWS;SQL Server Enterprise;;
Preemptible;1.6925;n1-highcpu-2;WINDOWS;SQL Server Enterprise;;
Preemptible;1.698;n1-standard-2;WINDOWS;SQL Server Enterprise;;
Preemptible;1.7035;n1-highmem-2;WINDOWS;SQL Server Enterprise;;
Preemptible;1.789;n1-highcpu-4;WINDOWS;SQL Server Enterprise;;
Preemptible;1.8;n1-standard-4;WINDOWS;SQL Server Enterprise;;
